age,monthly_avg_access_days,weekly_avg_access_days,weight_records,sleep_records,food_records,menstruation_records
35,19,5,43,353,5,6
44,21,5,128,284,22,11
32,7,2,24,299,31,16
43,27,6,170,414,123,12
26,14,3,4,358,3,1
34,27,6,45,384,81,15
30,27,6,356,391,0,15
29,14,3,48,278,637,13
42,14,4,36,320,88,4
26,26,6,300,331,306,10
62,28,6,6,234,0,0
40,24,6,276,279,284,3
58,27,6,549,277,622,0
40,26,6,223,294,57,0
51,26,6,204,323,49,0
42,21,5,295,135,32,13
26,24,6,2,311,1,1
56,25,6,1,285,0,0
60,26,6,262,290,0,0
66,26,6,514,295,793,0
27,7,3,54,259,46,1
47,26,6,295,287,1087,6
31,25,6,189,275,332,1
52,21,5,85,267,30,5
48,22,5,12,236,1,0
37,26,6,251,248,249,1
45,5,2,2,195,0,0
21,22,5,29,254,121,2
46,5,2,1,1,0,1
47,14,4,252,272,239,2
28,9,3,81,193,90,4
46,8,3,61,73,179,2
57,27,6,8,665,3,0
25,5,2,17,116,2,10
39,23,5,390,7,6,18
51,21,5,8,7,7,11
43,27,6,535,536,9,19
27,18,4,165,164,0,15
47,13,3,238,34,284,19
51,10,2,85,360,3,23
57,20,5,43,349,39,1
53,26,6,419,464,903,1
52,26,6,116,438,211,0
31,14,4,47,140,78,2
44,15,3,111,203,46,3
36,28,6,395,392,7,16
40,11,4,39,43,145,5
24,25,6,136,373,14,16
45,14,4,161,268,47,14
24,23,5,177,282,803,7
35,20,5,1,145,6,8
39,18,4,70,328,65,4
54,27,6,290,335,422,0
47,23,5,186,310,8,8
22,12,4,151,296,93,12
50,21,5,185,328,0,1
45,25,6,564,328,125,14
41,12,3,12,0,0,0
42,13,3,39,236,26,5
20,13,3,82,292,115,0
46,22,5,85,296,88,0
60,26,6,308,299,6,0
49,26,6,74,288,836,4
46,11,3,70,147,91,11
44,21,5,37,244,26,5
51,26,6,288,288,393,12
53,20,5,54,287,519,10
64,26,6,389,275,0,0
30,22,5,73,229,129,9
48,25,6,257,247,5,1
39,11,4,95,126,137,7
44,20,5,67,207,273,0
33,25,6,2,197,12,10
33,22,6,119,131,233,5
23,17,4,108,128,96,4
33,19,5,110,142,12,4
27,18,5,67,114,110,0
33,25,5,1,179,0,0
27,11,3,6,129,10,3
43,9,2,45,376,74,15
31,17,4,90,403,85,1
51,7,2,38,277,23,2
24,13,4,1,153,20,0
32,9,3,6,173,14,2
40,28,6,245,537,328,20
48,2,1,10,11,15,1
37,21,5,63,230,18,8
50,15,5,0,229,409,6
44,15,4,16,25,0,0
49,28,6,213,216,581,1
49,11,3,309,533,47,18
38,21,5,185,504,212,16
59,23,6,229,281,2,0
59,17,4,493,566,30,0
50,15,3,5,1,5,1
28,10,3,96,215,126,11
48,14,3,82,475,11,5
41,26,6,184,270,652,15
47,20,5,240,442,241,16
37,22,5,165,359,174,13
37,13,4,54,187,1,1
33,11,3,23,157,114,2
57,28,6,395,456,439,0
35,28,6,208,402,275,2
40,24,5,216,375,242,6
23,26,6,30,742,5,18
36,10,3,72,324,12,3
41,25,6,56,107,9,6
54,11,3,130,376,0,0
19,28,6,2,377,7,19
21,24,5,207,372,327,18
24,16,4,22,330,3,2
58,13,3,30,239,6,0
52,28,6,323,291,531,5
52,20,4,77,333,1,0
58,22,5,266,551,20,0
43,27,6,424,334,208,13
42,11,3,31,227,19,0
